category;nb_samples
0;6
1;15
2;2
3;3
4;16
5;10
6;4
7;29
8;8
9;36
10;40
11;3
12;21
13;44
14;6
15;13
16;4
17;12
18;27
19;4
20;11
21;2
22;20
23;6
24;2
25;12
26;3
27;4
28;2
29;10
30;13
31;109
32;40
33;59
34;131
35;10
36;81
37;8
38;2
39;4
40;2
41;5
42;6
43;6
44;10
45;4
46;3
47;4
48;2
49;5
50;2
51;2
52;4
53;52
54;4
55;3
56;274
57;176
58;91
59;2
60;32
61;83
62;23
63;96
64;60
65;13
66;4
67;4
68;12
69;4
70;9
71;222
72;27
73;37
74;10
75;9
76;13
77;36
78;4
79;9
80;4
81;7
82;6
83;2
84;4
85;4
86;35
87;12
88;6
89;30
90;6
91;8
92;4
93;67
94;8
95;56
96;4
97;17
98;12
99;8
100;45
101;9
102;8
103;6
104;16
105;5
106;9
107;2
108;12
109;20
110;90
111;32
112;4
113;13
114;20
115;4
116;33
117;8
118;12
119;26
120;16
121;2
122;19
123;5
124;9
125;25
126;24
127;9
128;2
129;22
130;17
131;4
132;30
133;8
134;21
135;8
136;3
137;70
138;41
139;2
140;7
141;12
142;162
143;58
144;37
145;10
146;6
147;131
148;68
149;249
150;67
151;77
152;230
153;495
154;111
155;266
156;142
157;560
158;272
159;430
160;317
161;21
162;32
163;1195
164;4
165;12
166;2
167;67
168;35
169;8
170;32
171;3
172;4
173;2
174;56
175;5
176;560
177;333
178;123
179;72
180;33
181;190
182;6
183;4
184;36
185;60
186;65
187;23
188;4
189;12
190;83
191;32
192;73
193;33
194;28
195;12
196;93
197;9
198;6
199;44
200;36
201;2
202;5
203;3
204;12
205;2
206;2
207;11
208;4
209;8
210;2
211;4
212;10
213;2
214;10
215;2
216;4
217;4
218;5
219;7
220;10
221;9
222;7
223;3
224;8
225;2
226;8
227;17
228;5
229;12
230;3
231;4
232;46
233;17
234;13
235;79
236;9
237;12
238;10
239;143
240;14
241;6
242;18
243;12
244;5
245;4
246;85
247;6
248;8
249;14
250;2
251;3
252;43
253;4
254;11
255;26
256;62
257;28
258;18
259;5
260;2
261;3
262;3
263;11
264;15
265;10
266;3
267;3
268;4
269;106
270;31
271;2
272;72
273;6
274;79
275;9
276;50
277;58
278;86
279;8
280;3
281;5
282;20
283;8
284;2
285;7
286;5
287;3
288;3
289;54
290;207
291;219
292;3
293;12
294;4
295;5
296;316
297;523
298;20
299;8
300;3
301;4
302;6
303;2
304;4
305;17
306;31
307;7
308;2
309;3
310;13
311;151
312;6
313;11
314;17
315;2
316;4
317;5
318;49
319;8
320;4
321;13
322;8
323;4
324;86
325;59
326;17
327;3
328;6
329;4
330;4
331;12
332;6
333;3
334;3
335;2
336;2
337;4
338;2
339;3
340;5
341;2
342;4
343;3
344;3
345;30
346;3
347;2
348;3
349;7
350;5
351;12
352;7
353;3
354;10
355;4
356;2
357;5
358;9
359;2
360;2
361;8
362;16
363;6
364;2
365;4
366;10
367;14
368;2
369;4
370;55
371;5
372;10
373;4
374;26
375;2
376;3
377;3
378;8
379;2
380;148
381;2
382;2
383;9
384;23
385;2
386;29
387;4
388;4
389;37
390;132
391;16
392;4
393;19
394;115
395;9
396;9
397;4
398;12
399;2
400;195
401;5
402;4
403;3
404;8
405;3
406;7
407;28
408;12
409;8
410;24
411;6
412;7
413;16
414;180
415;93
416;28
417;2
418;337
419;12
420;5
421;277
422;7
423;14
424;45
425;10
426;34
427;22
428;2
429;36
430;2
431;6
432;141
433;14
434;13
435;5
436;41
437;2
438;8
439;4
440;5
441;34
442;6
443;8
444;399
445;20
446;38
447;64
448;11
449;161
450;8
451;143
452;6
453;2
454;8
455;8
456;155
457;7
458;8
459;11
460;16
461;66
462;34
463;539
464;19
465;11
466;182
467;2
468;20
469;23
470;12
471;166
472;16
473;20
474;426
475;3
476;349
477;113
478;4
479;18
480;16
481;8
482;12
483;24
484;15
485;3
486;329
487;125
488;290
489;79
490;143
491;10
492;47
493;9
494;138
495;23
496;31
497;12
498;58
499;8
500;51
501;3
502;18
503;4
504;4
505;10
506;2
507;2
508;3
509;2
510;5
511;4
512;2
513;6
514;2
515;3
516;2
517;4
518;6
519;2
520;9
521;10
522;2
523;2
524;24
525;3
526;5
527;3
528;6
529;5
530;7
531;7
532;4
533;3
534;4
535;10
536;4
537;2
538;15
539;8
540;20
541;4
542;20
543;24
544;12
545;4
546;36
547;12
548;17
549;2
550;4
551;4
552;11
553;3
554;36
555;2
556;12
557;6
558;12
559;65
560;4
561;3
562;5
563;51
564;2
565;3
566;10
567;30
568;7
569;3
570;97
571;3
572;2
573;6
574;32
575;2
576;8
577;56
578;12
579;8
580;7
581;9
582;16
583;12
584;22
585;5
586;12
587;2
588;3
589;2
590;12
591;48
592;4
593;5
594;10
595;11
596;4
597;3
598;3
599;22
600;92
601;4
602;31
603;2
604;19
605;5
606;7
607;16
608;2
609;55
610;16
611;26
612;13
613;67
614;9
615;50
616;24
617;138
618;39
619;171
620;17
621;6
622;35
623;3
624;12
625;2
626;23
627;8
628;246
629;49
630;50
631;3
632;24
633;73
634;5
635;9
636;2
637;45
638;143
639;96
640;32
641;8
642;12
643;85
644;12
645;8
646;12
647;13
648;24
649;4
650;6
651;4
652;16
653;2
654;3
655;2
656;6
657;11
658;16
659;3
660;2
661;14
662;9
663;17
664;5
665;4
666;8
667;18
668;12
669;60
670;20
671;114
672;39
673;5
674;95
675;12
676;7
677;4
678;6
679;4
680;12
681;2
682;8
683;12
684;9
685;2
686;3
687;19
688;17
689;2
690;15
691;14
692;13
693;2
694;2
695;4
696;6
697;8
698;23
699;2
700;11
701;2
702;17
703;16
704;4
705;17
706;3
707;9
708;67
709;3
710;17
711;4
712;4
713;11
714;9
715;9
716;55
717;22
718;26
719;49
720;31
721;8
722;4
723;29
724;10
725;24
726;9
727;16
728;20
729;42
730;254
731;66
732;2
733;231
734;15
735;40
736;196
737;100
738;123
739;188
740;5
741;12
742;78
743;576
744;4
745;15
746;4
747;806
748;96
749;3
750;149
751;11
752;15
753;27
754;87
755;656
756;8
757;161
758;4
759;13
760;104
761;8
762;8
763;7
764;3
765;4
766;8
767;12
768;4
769;19
770;16
771;16
772;4
773;12
774;2
775;68
776;3
777;49
778;20
779;2
780;15
781;14
782;7
783;24
784;14
785;53
786;2
787;3
788;10
789;2
790;2
791;19
792;11
793;13
794;12
795;4
796;20
797;3
798;8
799;20
800;2
801;100
802;32
803;2
